longitude,latitude,YR,MO,X,Y,TOT,CR
-73.77546692,40.70926325155449,2015,5,1046500,197760,1,BURGLARY
-73.78495977,40.698294048998335,2015,5,1043878,193757,1,BURGLARY
-73.76323598,40.71019941532384,2015,5,1049890,198110,1,FELONY ASSAULT
-73.75786327,40.70674080364123,2015,5,1051383,196854,2,GRAND LARCENY
-73.76697379,40.711993889057865,2015,5,1048852,198761,1,GRAND LARCENY
-73.79199538,40.70651934063864,2015,5,1041920,196749,1,GRAND LARCENY
-73.81032685,40.69579973323994,2015,5,1036846,192832,1,GRAND LARCENY OF MOTOR VEHICLE
-73.78235172,40.70511814481264,2015,5,1044595,196245,1,ROBBERY
-73.79560558,40.70659168228517,2015,5,1040919,196773,2,ROBBERY
-73.78648941,40.69587326002472,2015,5,1043456,192874,1,ROBBERY
-73.80924019,40.69747499416331,2015,5,1037146,193443,1,ROBBERY
-73.91493752,40.70619002275737,2015,5,1007834,196572,3,BURGLARY
-73.90045688,40.69853148942328,2015,5,1011852,193786,1,BURGLARY
-73.87473032,40.70550552323666,2015,5,1018982,196336,1,BURGLARY
-73.87470152,40.70931522779347,2015,5,1018988,197724,1,BURGLARY
-73.88029099,40.718082462744746,2015,5,1017434,200916,1,BURGLARY
-73.90174668,40.72876890843303,2015,5,1011482,204802,1,BURGLARY
-73.89726266,40.70488830902975,2015,5,1012735,196103,1,FELONY ASSAULT
-73.89692617,40.73356801875179,2015,5,1012816,206552,1,FELONY ASSAULT
-73.91142227,40.69973442491092,2015,5,1008811,194221,1,GRAND LARCENY
-73.90086207,40.6952491,2015,5,1011741,192590,1,GRAND LARCENY
-73.88740972,40.71733209022944,2015,5,1015461,200640,1,GRAND LARCENY
-73.85938001,40.703777803496585,2015,5,1023239,195713,1,GRAND LARCENY OF MOTOR VEHICLE
-73.90686623,40.70827254166026,2015,5,1010071,197333,1,GRAND LARCENY OF MOTOR VEHICLE
-73.90631959,40.69686210173274,2015,5,1010227,193176,1,ROBBERY
-73.90652987,40.69863539,2015,5,1010168,193822,1,ROBBERY
-73.73608337,40.71085126318948,2015,5,1057417,198369,1,BURGLARY
-73.74122182,40.71776877830945,2015,5,1055985,200885,1,BURGLARY
-73.71733945,40.73250693810304,2015,5,1062588,206275,1,BURGLARY
-73.74456691,40.70150522506815,2015,5,1055075,194957,1,FELONY ASSAULT
-73.73058421,40.71491725958048,2015,5,1058937,199855,1,FELONY ASSAULT
-73.75189821,40.72498083268809,2015,5,1053018,203504,1,FELONY ASSAULT
-73.73400269,40.73781933,2015,5,1057964,208196,1,FELONY ASSAULT
-73.75657344,40.717217625151626,2015,5,1051730,200672,1,FELONY ASSAULT
-73.73613984,40.69111918058621,2015,5,1057423,191180,1,GRAND LARCENY
-73.77960276,40.66494306,2015,5,1045394,181610,1,GRAND LARCENY
-73.73116109,40.65148937368054,2015,5,1058848,176746,1,GRAND LARCENY
-73.75497161,40.67015773255162,2015,5,1052222,183528,1,GRAND LARCENY
-73.73545844,40.650184581475386,2015,5,1057657,176267,1,GRAND LARCENY
-73.73780369,40.660477438096464,2015,5,1056995,180015,1,GRAND LARCENY
-73.7171777,40.744262375861226,2015,5,1062619,210558,1,GRAND LARCENY
-73.73638853,40.66743499339334,2015,5,1057380,182551,1,GRAND LARCENY OF MOTOR VEHICLE
-73.77093669,40.66304320262217,2015,5,1047800,180924,1,GRAND LARCENY OF MOTOR VEHICLE
-73.75434732,40.65760996938175,2015,5,1052408,178957,1,GRAND LARCENY OF MOTOR VEHICLE
-73.74153387,40.63823108217131,2015,5,1055984,171907,1,GRAND LARCENY OF MOTOR VEHICLE
-73.7229648,40.75417405203659,2015,5,1061004,214164,1,GRAND LARCENY OF MOTOR VEHICLE
-73.71469245,40.75323710990142,2015,5,1063297,213830,1,GRAND LARCENY OF MOTOR VEHICLE
-77.51958437,40.11238529747836,2015,5,0,0,11,BURGLARY
-73.75423182,40.66548178052157,2015,5,1052432,181825,1,ROBBERY
-73.84890098,40.67428839439081,2015,5,1026163,184974,1,FELONY ASSAULT
-73.8540771,40.661449500652616,2015,5,1024735,180294,2,GRAND LARCENY
-73.81600042,40.67062285935937,2015,5,1035292,183656,1,GRAND LARCENY
-73.80356981,40.66974318962538,2015,5,1038741,183343,1,GRAND LARCENY OF MOTOR VEHICLE
-73.81562795,40.687999462072426,2015,5,1035382,189987,1,ROBBERY
-73.82323992,40.686597846213424,2015,5,1033272,189472,1,ROBBERY
-73.81767418,40.68472820333516,2015,5,1034817,188794,1,ROBBERY
-73.84381341,40.67463842169524,2015,5,1027574,185104,1,ROBBERY
-73.76733248,40.72497463,2015,5,1048740,203490,1,GRAND LARCENY
-73.81928739,40.71211534530525,2015,5,1034349,198771,2,GRAND LARCENY
-73.78340214,40.74148553411474,2015,5,1044271,209494,1,GRAND LARCENY
-73.81705587,40.71296269866004,2015,5,1034967,199081,1,GRAND LARCENY OF MOTOR VEHICLE
-73.81248759,40.70968907366972,2015,5,1036236,197891,1,ROBBERY
-73.8105293,40.73623048379739,2015,5,1036758,207562,1,ROBBERY
-73.9180746,40.73914862306497,2015,5,1006953,208579,1,BURGLARY
-73.92547086,40.727422563609295,2015,5,1004907,204305,1,GRAND LARCENY
-73.89161779,40.74060069625843,2015,5,1014284,209116,1,GRAND LARCENY
-73.92056837,40.74802415105157,2015,5,1006259,211812,1,GRAND LARCENY OF MOTOR VEHICLE
-73.9344419,40.74035307053703,2015,5,1002417,209014,1,ROBBERY
-73.78660407,40.77835352846548,2015,5,1043351,222924,1,BURGLARY
-73.79292053,40.76863492843268,2015,5,1041610,219379,1,FELONY ASSAULT
-73.82732819,40.76203562058488,2015,5,1032084,216954,1,FELONY ASSAULT
-73.81072145,40.752427606673606,2015,5,1036692,213463,1,GRAND LARCENY
-73.81935602,40.75467295489443,2015,5,1034298,214276,1,GRAND LARCENY
-73.81747866,40.785139416435904,2015,5,1034795,225377,1,GRAND LARCENY
